compound_id,receptor_subtype,MW,LogP,pKa_predito,Ki_nM,IC50_nM,docking_score,fonte_literatura
CMP-0001,GluN2C,374.34,3.2,9.3,615.9,44.6,-8.23,literatura primária
CMP-0002,GluN2B,274.54,2.49,5.77,927.7,1119.1,-9.07,PubChem
CMP-0003,GluN2C,291.98,3.3,4.42,497.3,78.5,-9.7,literatura primária
CMP-0004,GluN2B,507.75,2.46,7.56,78.0,520.0,-8.7,literatura primária
CMP-0005,GluN2A,302.75,3.83,8.89,142.4,161.0,-9.75,BindingDB
CMP-0006,GluN2D,314.19,0.79,10.28,243.9,90.5,-7.75,ChEMBL
CMP-0007,GluN2C,490.21,2.43,8.23,105.4,17.0,-9.81,literatura primária
CMP-0008,GluN2C,554.3,0.61,6.81,106.7,120.8,-7.2,BindingDB
CMP-0009,GluN2A,309.71,1.16,5.97,262.7,22.8,-9.85,BindingDB
CMP-0010,GluN2B,357.91,4.3,7.42,83.3,473.8,-8.99,literatura primária
CMP-0011,GluN2B,400.49,3.78,6.92,34.9,916.1,-9.07,literatura primária
CMP-0012,GluN2D,483.72,2.01,5.78,52.5,57.0,-6.34,PubChem
CMP-0013,GluN2B,320.79,1.15,10.68,205.2,213.2,-7.74,literatura primária
CMP-0014,GluN2C,365.28,-0.46,10.26,90.4,62.1,-8.5,literatura primária
CMP-0015,GluN2B,426.64,2.2,9.22,140.1,69.8,-7.5,PubChem
CMP-0016,GluN2A,406.09,5.46,5.93,215.1,375.9,-11.15,ChEMBL
CMP-0017,GluN2B,357.43,3.28,8.77,55.3,141.7,-8.26,literatura primária
CMP-0018,GluN2A,371.97,2.18,8.42,240.6,1197.0,-5.4,PubChem
CMP-0019,GluN2C,297.51,3.31,8.11,147.3,83.2,-8.01,ChEMBL
CMP-0020,GluN2B,365.71,1.08,9.4,18.1,492.4,-8.1,BindingDB
CMP-0021,GluN2C,364.02,2.47,8.42,587.0,166.8,-7.43,BindingDB
CMP-0022,GluN2B,393.93,2.91,8.58,46.9,385.7,-6.95,literatura primária
CMP-0023,GluN2D,346.68,2.71,8.42,10.5,86.8,-11.0,PubChem
CMP-0024,GluN2C,408.29,3.67,7.95,23.1,139.8,-10.56,ChEMBL
CMP-0025,GluN2C,440.76,3.18,4.55,23.9,129.2,-7.91,literatura primária
CMP-0026,GluN2A,389.33,3.54,7.53,96.3,54.4,-9.2,BindingDB
CMP-0027,GluN2B,401.11,2.04,6.51,63.1,328.5,-6.36,PubChem
CMP-0028,GluN2A,383.19,3.79,5.35,58.1,323.9,-8.64,ChEMBL
CMP-0029,GluN2A,380.01,4.59,10.09,201.5,302.6,-10.91,ChEMBL
CMP-0030,GluN2B,336.71,1.73,10.17,140.0,938.6,-9.98,BindingDB
CMP-0031,GluN2B,398.99,1.82,9.57,135.8,844.9,-12.05,ChEMBL
CMP-0032,GluN2D,374.16,4.27,7.81,153.4,94.6,-8.53,BindingDB
CMP-0033,GluN2A,505.59,2.59,9.56,200.5,232.2,-8.46,ChEMBL
CMP-0034,GluN2B,474.4,4.34,7.42,5.8,70.2,-8.79,BindingDB
CMP-0035,GluN2B,403.15,2.31,7.72,56.0,152.6,-6.69,PubChem
CMP-0036,GluN2A,334.22,4.4,5.65,5.3,72.3,-6.52,BindingDB
CMP-0037,GluN2A,313.26,2.94,8.04,94.3,1037.0,-8.44,literatura primária
CMP-0038,GluN2B,451.47,3.08,7.5,89.5,229.6,-11.19,PubChem
CMP-0039,GluN2A,395.76,4.52,5.32,350.4,114.2,-7.34,ChEMBL
CMP-0040,GluN2B,408.81,2.4,7.32,421.5,621.6,-7.42,BindingDB
CMP-0041,GluN2B,275.32,1.76,7.27,117.2,11.0,-7.77,BindingDB
CMP-0042,GluN2C,435.65,2.31,10.28,47.0,13.2,-6.83,BindingDB
CMP-0043,GluN2B,407.27,3.3,8.83,169.1,385.7,-9.83,BindingDB
CMP-0044,GluN2A,313.37,1.08,7.42,45.3,159.6,-5.39,BindingDB
CMP-0045,GluN2C,351.71,3.5,7.8,89.9,200.4,-9.54,BindingDB
CMP-0046,GluN2C,395.82,2.21,7.47,324.4,30.2,-7.15,PubChem
CMP-0047,GluN2B,383.15,4.06,7.08,43.6,144.3,-10.56,literatura primária
CMP-0048,GluN2A,362.47,0.17,5.67,256.6,1642.9,-9.5,ChEMBL
CMP-0049,GluN2B,373.79,1.93,7.16,217.2,399.0,-6.08,PubChem
CMP-0050,GluN2A,364.88,0.94,6.21,26.0,181.9,-8.57,ChEMBL
CMP-0051,GluN2A,389.15,1.89,5.4,319.3,87.6,-7.02,ChEMBL
CMP-0052,GluN2A,468.29,3.07,8.22,223.2,92.4,-7.87,PubChem
